,WIDHT.OF.THE.PILEUS,WIDHT.OF.THE.STIPE,THICKNESS.OF.THE.STIPE,HEIGHT.OF.THE.SPORES,WIDHT.OF.THE.SPORES,label
0,"[5.0, 15.0]","[3.3, 9.1]","[1.4, 3.5]","[9.5, 13.0]","[6.5, 8.5]",Amanita
1,"[6.0, 12.0]","[9.0, 17.0]","[1.0, 2.0]","[9.5, 11.5]","[8.5, 10.0]",Amanita
2,"[3.0, 11.0]","[4.0, 15.0]","[0.5, 2.0]","[8.0, 11.5]","[6.0, 9.0]",Amanita
3,"[8.0, 25.0]","[10.0, 20.0]","[1.5, 4.0]","[8.0, 11.0]","[5.0, 6.0]",Amanita
4,"[6.0, 39.0]","[7.0, 16.0]","[2.0, 3.0]","[9.0, 13.0]","[6.5, 9.5]",Amanita
5,"[5.0, 14.0]","[6.0, 12.0]","[1.5, 3.5]","[7.0, 8.5]","[5.5, 6.0]",Amanita
6,"[5.0, 13.0]","[10.0, 22.0]","[1.5, 3.0]","[9.0, 12.5]","[7.0, 9.0]",Amanita
7,"[8.0, 18.0]","[10.0, 25.0]","[1.0, 3.0]","[11.5, 14.0]","[10.0, 12.0]",Amanita
8,"[4.0, 15.0]","[7.0, 11.0]","[1.0, 2.5]","[9.5, 13.0]","[7.0, 9.5]",Amanita
9,"[3.5, 15.0]","[4.0, 18.0]","[1.0, 3.0]","[7.0, 12.0]","[6.0, 10.0]",Amanita
10,"[4.0, 14.0]","[5.0, 15.0]","[1.0, 3.0]","[10.0, 12.0]","[8.5, 10.0]",Amanita
11,"[5.0, 17.0]","[6.0, 18.0]","[1.0, 3.5]","[8.5, 12.0]","[6.0, 8.0]",Amanita
12,"[5.5, 10.0]","[6.0, 13.0]","[1.2, 2.0]","[8.0, 11.5]","[7.5, 10.0]",Amanita
13,"[5.0, 11.0]","[4.0, 11.0]","[1.0, 2.5]","[8.5, 12.0]","[7.0, 11.0]",Amanita
14,"[6.0, 12.0]","[2.0, 7.0]","[1.5, 3.0]","[6.0, 7.5]","[4.0, 5.0]",Agaricus
