,1,2,3,4,5,6,7,8,9,label
0,"[903.7, 934.3]","[65.1, 66.5]","[273.5, 276.5]","[108.0, 110.0]","[9.2, 12.4]","[0.7, 1.1]","[0.8, 1.4]","[1.6, 2.2]","[193.7, 200.3]",1
1,"[664.3, 669.7]","[24.4, 25.0]","[335.3, 336.7]","[125.5, 126.5]","[13.0, 14.0]","[0.5, 0.9]","[0.7, 0.9]","[1.2, 1.6]","[87.1, 91.7]",1
2,"[756.5, 765.5]","[42.5, 42.9]","[318.3, 321.7]","[135.7, 142.3]","[4.6, 6.0]","[0.9, 1.1]","[0.8, 1.2]","[1.5, 1.7]","[118.9, 129.1]",1
3,"[752.4, 759.6]","[37.5, 37.9]","[284.4, 285.6]","[123.8, 128.2]","[2.7, 3.1]","[0.3, 0.9]","[0.5, 1.1]","[0.3, 1.1]","[105.9, 118.1]",1
4,"[552.7, 555.3]","[30.8, 31.0]","[291.8, 292.2]","[104.7, 111.3]","[1.6, 2.2]","[-0.2, 1.8]","[0.3, 0.7]","[0.5, 0.9]","[84.3, 93.1]",2
5,"[753.9, 758.1]","[20.4, 21.0]","[374.5, 375.5]","[138.4, 151.6]","[3.2, 3.4]","[0.4, 1.0]","[0.9, 1.5]","[0.7, 1.3]","[149.8, 156.2]",1
6,"[765.7, 768.3]","[37.4, 38.0]","[351.4, 352.6]","[140.9, 145.1]","[4.6, 5.4]","[0.5, 1.1]","[0.8, 1.0]","[0.6, 1.2]","[103.8, 114.2]",1
7,"[653.8, 668.2]","[25.1, 25.5]","[97.2, 97.6]","[91.3, 101.5]","[1.3, 1.7]","[0.5, 0.9]","[0.3, 0.5]","[0.5, 0.7]","[69.0, 76.4]",1
8,"[560.9, 569.1]","[19.3, 19.7]","[138.9, 139.1]","[115.8, 124.2]","[1.8, 2.0]","[0.6, 1.2]","[0.5, 0.9]","[0.9, 1.1]","[80.5, 85.7]",2
9,"[1257.0, 1277.0]","[8.3, 8.7]","[121.7, 124.3]","[117.9, 124.1]","[7.6, 8.6]","[0.6, 0.8]","[1.1, 1.5]","[0.9, 1.3]","[191.8, 200.2]",1
10,"[975.5, 984.5]","[10.1, 10.5]","[256.7, 263.3]","[124.5, 125.5]","[14.4, 14.6]","[0.7, 1.3]","[1.1, 2.9]","[2.2, 2.6]","[219.8, 228.2]",1
11,"[1169.4, 1182.6]","[20.4, 20.6]","[149.6, 150.4]","[105.7, 110.3]","[3.1, 3.3]","[0.2, 0.6]","[0.6, 1.0]","[0.4, 0.6]","[83.3, 84.3]",1
12,"[668.9, 675.1]","[51.0, 51.6]","[164.8, 165.2]","[108.5, 109.5]","[6.1, 6.7]","[0.6, 0.8]","[4.7, 5.5]","[1.1, 1.3]","[105.5, 113.5]",2
13,"[644.2, 657.8]","[86.1, 88.9]","[164.4, 169.6]","[91.5, 97.3]","[1.0, 1.2]","[0.4, 1.0]","[0.3, 1.3]","[1.0, 1.2]","[122.7, 127.3]",2
14,"[704.9, 711.1]","[98.0, 98.8]","[217.5, 220.5]","[89.8, 103.2]","[3.6, 4.4]","[0.8, 1.0]","[0.8, 1.2]","[1.7, 2.3]","[124.5, 135.5]",2
15,"[485.8, 488.2]","[26.9, 27.3]","[100.7, 101.3]","[81.1, 81.5]","[1.8, 2.2]","[0.2, 0.4]","[0.4, 2.6]","[2.6, 2.8]","[43.9, 45.9]",2
16,"[496.3, 511.7]","[19.5, 19.7]","[140.5, 141.5]","[82.1, 85.3]","[3.1, 3.5]","[0.2, 0.6]","[0.8, 1.2]","[0.8, 1.2]","[63.2, 64.8]",2
